ID,Title,Episodes,Type,Aired,Producers,Studios,Source,Genres,Duration,Score,Rating count,Rank,Popularity
50388,Taiko no Tatsujin Anime Ba-Jon!,Unknown,ONA,"Nov 16, 2021 to ?","None found, add some","None found, add some",Game,,11 min.,N/A,,143012,18686
50392,Mato Seihei no Slave,12,TV,"Jan 4, 2024 to Mar 21, 2024","Pony Canyon, AT-X, MAGNET, Yostar",Seven Arcs,Manga,"Action, Fantasy, Ecchi",23 min. per ep.,6.84,75721,50572,1216
50396,Yumemachi Ressha,1,Music,Feb 2013,NHK,"None found, add some",Original,,4 min.,N/A,,Ranked: N/A2,21185
50398,Wangu Jian Shen,38,ONA,"Oct 30, 2021 to Jul 2, 2022",Youku,"None found, add some",Novel,"Action, Fantasy, Supernatural",11 min. per ep.,6.41,223,75062,12195
50399,Tian Guan Cifu Er,12,ONA,"Oct 18, 2023 to Jan 17, 2024",bilibili,Red Dog Culture House,Web novel,"Action, Adventure, Drama, Fantasy",24 min. per ep.,8.67,16870,682,3259
50400,Wo Jia Da Shixiong You Dian Kaopu,13,ONA,"Jan 6, 2023 to Mar 24, 2023","bilibili, Magilm Pictures","None found, add some",Manga,"Action, Adventure, Comedy",18 min. per ep.,6.94,220,45822,12885
50401,Hanhua Riji 3rd Season,12,ONA,"Jul 31, 2022 to Oct 9, 2022","bilibili, Liyu Culture, Yunyi Animation , Haowan Dongman, Qizhiying Culture",L²Studio,Original,"Comedy, Supernatural",13 min. per ep.,7.65,1249,13942,10000
50403,Liang Bu Yi 2nd Season,24,ONA,"Oct 26, 2022 to Apr 19, 2023",bilibili,Paper Plane Animation Studio,Web manga,"Comedy, Romance",14 min. per ep.,7.83,1954,9462,8576
50404,Xian Wang de Richang Shenghuo 3,12,ONA,"Sep 30, 2022 to Dec 11, 2022",bilibili,Pb Animation Co. Ltd.,Novel,"Adventure, Comedy, Fantasy",18 min. per ep.,7.35,31179,25502,2146
50405,Tianbao Fuyao Lu 3rd Season,Unknown,ONA,Not available,bilibili,Sparkly Key Animation Studio,Web novel,"Action, Adventure, Comedy, Fantasy, Mystery",Unknown,N/A,,Ranked: N/A2,11664
50406,Yuan Long 3rd Season,16,ONA,"Nov 24, 2022 to Mar 16, 2023",bilibili,CG Year,Novel,"Action, Adventure, Fantasy",19 min. per ep.,6.29,417,82192,11863
